manga_id,reading,completed,on_hold,dropped,plan_to_read,total
121082,69,1382,21,11,511,1994
132962,164,2271,25,124,1341,3925
1014,888,5215,353,224,3462,10142
8557,2847,294,703,293,6405,10542
3008,6597,76796,1581,865,16080,101919
33297,3504,13672,673,602,5663,24114
58007,4931,33540,1062,544,8969,49046
80375,1946,3576,635,319,4750,11226
1630,6194,71464,1481,800,14655,94594
66057,5586,3782,1000,422,3429,14219
22986,3418,7181,807,579,14518,26503
17,4273,13851,2575,1918,13563,36180
20242,2606,7041,829,508,7330,18314
436,13249,130290,3232,1803,46575,195149
463,5731,25352,1969,1168,19253,53473
37523,5188,2597,1059,616,7155,16615
1258,968,10967,308,150,4031,16424
35733,1604,6141,523,215,5666,14149
110485,71282,3758,6585,2952,28634,113211
113555,1850,3922,464,276,2821,9333
3520,1432,11337,422,533,4812,18536
98374,7914,550,1216,336,4747,14763
19266,5220,3930,1088,393,2760,13391
113163,1471,468,237,80,2387,4643
688,1723,4964,798,473,7417,15375
41865,847,5599,357,135,5851,12789
661,6454,4268,2894,1330,13274,28220
11243,483,1731,139,61,4306,6720
24294,26651,101496,4953,3664,34580,171344
124483,1672,1698,241,81,954,4646
792,2080,3059,836,408,7358,13741
729,2342,10803,1039,708,10748,25640
635,1738,6825,1204,813,7500,18080
7010,1198,4136,532,429,4900,11195
26201,769,962,161,95,2809,4796
119931,236,2277,46,29,1312,3900
26769,9069,14154,1635,889,14104,39851
1257,1592,14536,514,291,6632,23565
10010,23682,57351,6085,4517,19663,111298
9296,2215,37590,503,397,12738,53443
113819,185,736,41,28,1571,2561
21467,685,8631,148,69,6218,15751
13702,17906,48282,5112,3083,26775,101158
128594,1110,3859,231,39,1470,6709
133352,2891,104,276,99,3857,7227
29983,40536,18506,8865,6971,26360,101238
7760,2742,11953,527,228,4404,19854
3403,14487,32333,2681,1525,12428,63454
21277,1075,11236,275,273,2186,15045
26178,2724,7675,762,516,10038,21715
8300,12864,2137,2313,1046,5543,23903
